0.206487,0.233081,0.114835,0.445598
0.090070,0.279294,0.599217,0.031419
0.320217,0.093080,0.073355,0.513348
0.474771,0.092293,0.183178,0.249758
0.057309,0.083005,0.794480,0.065206
0.042956,0.028861,0.033779,0.894404
0.570908,0.036720,0.094439,0.297933
0.151363,0.129810,0.395728,0.323098
0.681627,0.067729,0.161019,0.089624
0.048243,0.523899,0.414900,0.012958
0.409979,0.486864,0.022623,0.080534
0.204338,0.532028,0.112148,0.151486
0.499513,0.246897,0.133413,0.120177
0.231153,0.300499,0.251964,0.216384
0.106545,0.354998,0.146552,0.391904
0.032231,0.314167,0.599097,0.054506
0.281272,0.204782,0.225550,0.288396
0.032777,0.066443,0.088874,0.811906
0.186552,0.047465,0.085842,0.680142
0.123891,0.044663,0.073350,0.758096
0.201490,0.054254,0.220009,0.524247
0.022099,0.026142,0.930244,0.021515
0.084108,0.192106,0.553199,0.170587
0.162752,0.439740,0.138405,0.259103
0.298605,0.451235,0.120659,0.129501
0.115527,0.213356,0.646028,0.025088
0.336845,0.152006,0.321420,0.189728
0.178877,0.421388,0.089151,0.310583
0.256953,0.196804,0.192895,0.353348
0.058971,0.273159,0.654949,0.012922
0.313401,0.060830,0.302530,0.323239
0.213272,0.070269,0.287987,0.428472
0.950182,0.016791,0.018418,0.014609
0.109023,0.232809,0.638966,0.019202
0.276489,0.130102,0.350544,0.242865
0.282187,0.150203,0.126900,0.440710
0.128143,0.054684,0.074320,0.742853
0.152527,0.154571,0.447177,0.245725
0.361966,0.035622,0.105780,0.496632
0.137397,0.199014,0.643821,0.019769
0.328072,0.024750,0.034124,0.613055
0.279532,0.614624,0.036444,0.069400
0.083599,0.230523,0.466022,0.219856
0.693282,0.121134,0.098197,0.087387
0.330227,0.225720,0.428077,0.015975
0.492448,0.009754,0.214398,0.283401
0.070183,0.129938,0.243263,0.556616
0.570434,0.058017,0.274682,0.096867
0.704305,0.191028,0.062727,0.041940
0.769719,0.015914,0.172105,0.042262
0.101641,0.191229,0.051244,0.655886
0.064457,0.076186,0.728797,0.130560
0.071782,0.076673,0.078843,0.772701
0.070447,0.201123,0.012777,0.715653
0.247260,0.072719,0.422328,0.257693
0.206015,0.119390,0.280361,0.394234
0.264098,0.163768,0.150085,0.422048
0.109075,0.033995,0.853799,0.003131
0.015559,0.084687,0.059225,0.840529
0.738280,0.124936,0.124840,0.011943
0.096865,0.045431,0.837974,0.019730
0.080445,0.037155,0.347207,0.535193
0.310633,0.166344,0.488574,0.034449
0.126376,0.160005,0.498116,0.215503
0.285429,0.135534,0.507763,0.071274
0.310480,0.068989,0.117517,0.503015
0.032929,0.019512,0.050120,0.897439
0.429692,0.231111,0.121479,0.217719
0.017667,0.010201,0.014921,0.957210
0.103413,0.028860,0.160685,0.707042
0.024902,0.015342,0.043275,0.916481
0.325604,0.272829,0.323074,0.078493
0.071268,0.013514,0.026800,0.888418
0.053135,0.276513,0.655948,0.014404
0.224944,0.291669,0.063702,0.419685
0.069778,0.544244,0.365169,0.020810
0.421155,0.297990,0.262694,0.018161
0.036235,0.241415,0.623496,0.098854
0.196436,0.109213,0.669233,0.025118
0.203392,0.093737,0.303355,0.399516
0.270846,0.221001,0.218396,0.289758
0.129225,0.241189,0.606700,0.022887
0.098167,0.066329,0.680443,0.155061
0.248139,0.115114,0.137855,0.498892
0.390722,0.051139,0.099804,0.458335
0.688201,0.090451,0.194903,0.026445
0.414575,0.178972,0.079923,0.326531
0.545716,0.068739,0.269528,0.116017
0.151321,0.033732,0.169674,0.645272
0.126384,0.311466,0.542953,0.019197
0.532158,0.161892,0.194547,0.111403
0.038924,0.628347,0.083819,0.248909
0.233817,0.056603,0.503599,0.205981
0.010163,0.016057,0.019502,0.954278
0.091097,0.671705,0.027809,0.209389
0.135911,0.093358,0.539552,0.231179
0.079947,0.702626,0.030718,0.186710
0.182307,0.065249,0.036502,0.715941
0.007546,0.032588,0.018039,0.941827
0.746321,0.118554,0.101996,0.033129
0.018578,0.133057,0.833416,0.014949
0.022091,0.037523,0.023089,0.917298
0.038007,0.020956,0.028251,0.912787
0.136121,0.058510,0.158486,0.646884
0.293498,0.071426,0.136380,0.498696
0.042354,0.114897,0.566214,0.276536
0.563469,0.261786,0.122879,0.051867
0.511982,0.307896,0.132006,0.048116
0.252819,0.028275,0.117112,0.601794
0.025000,0.096547,0.130847,0.747605
0.213751,0.510606,0.268924,0.006719
0.018652,0.462707,0.069729,0.448913
0.225865,0.209724,0.185388,0.379023
0.443257,0.420656,0.057447,0.078641
0.080913,0.033276,0.879309,0.006502
0.071117,0.095348,0.530297,0.303238
0.039848,0.540330,0.401215,0.018607
0.022638,0.464115,0.469343,0.043904
0.204763,0.094683,0.152995,0.547560
